index,n,step,batch,n_shots,device,task_id,completion_time,x00000,x00001,x00010,x00011,x00100,x00101,x00110,x00111,x01000,x01001,x01010,x01011,x01100,x01101,x01110,x01111,x10000,x10001,x10010,x10011,x10100,x10101,x10110,x10111,x11000,x11001,x11010,x11011,x11100,x11101,x11110,x11111
0,5,1,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/2025eb99-02e7-430d-8608-32dc584c7d54,2025-08-06T01:41:30.594Z,0.41015625,0.029296875,0.0107421875,0.00390625,0.009765625,0.0,0.0009765625,0.0029296875,0.0126953125,0.0048828125,0.0009765625,0.0009765625,0.001953125,0.001953125,0.0068359375,0.01171875,0.0107421875,0.0009765625,0.0009765625,0.0,0.0029296875,0.001953125,0.0107421875,0.017578125,0.0048828125,0.001953125,0.001953125,0.0263671875,0.0078125,0.0263671875,0.015625,0.359375
1,5,2,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/9fa731fa-c8c1-48cf-b9b7-bc1c94140df4,2025-08-06T01:41:31.123Z,0.43359375,0.01953125,0.009765625,0.005859375,0.0087890625,0.001953125,0.001953125,0.00390625,0.0126953125,0.0087890625,0.0009765625,0.0009765625,0.0087890625,0.0029296875,0.0048828125,0.015625,0.0107421875,0.0009765625,0.0009765625,0.0009765625,0.0,0.001953125,0.009765625,0.021484375,0.0078125,0.0048828125,0.001953125,0.02734375,0.001953125,0.021484375,0.0185546875,0.328125
2,5,3,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/f0da57b8-98ea-48a4-ac2f-202edbb0c169,2025-08-06T01:41:32.032Z,0.4208984375,0.029296875,0.0087890625,0.0048828125,0.0048828125,0.00390625,0.0,0.001953125,0.0185546875,0.0078125,0.001953125,0.001953125,0.001953125,0.0009765625,0.0068359375,0.021484375,0.005859375,0.0078125,0.0,0.001953125,0.001953125,0.0048828125,0.01171875,0.015625,0.0009765625,0.0029296875,0.0029296875,0.02734375,0.0009765625,0.0205078125,0.01953125,0.3388671875
3,5,4,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/c22d01e1-d858-4854-b115-fe66f1257004,2025-08-06T01:41:31.477Z,0.3984375,0.017578125,0.0078125,0.001953125,0.0126953125,0.001953125,0.0009765625,0.0029296875,0.013671875,0.0078125,0.0009765625,0.0,0.00390625,0.001953125,0.00390625,0.0126953125,0.0126953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.005859375,0.0234375,0.0029296875,0.0048828125,0.0009765625,0.033203125,0.00390625,0.0283203125,0.017578125,0.3671875
4,5,5,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/7cf97292-5fd1-4e53-83a9-f1a01fd7ede2,2025-08-06T01:41:31.815Z,0.419921875,0.0234375,0.01171875,0.0009765625,0.009765625,0.0,0.0,0.0029296875,0.01953125,0.0087890625,0.0009765625,0.0029296875,0.001953125,0.001953125,0.0068359375,0.021484375,0.01171875,0.00390625,0.0,0.0,0.001953125,0.0009765625,0.0087890625,0.0185546875,0.0029296875,0.0029296875,0.0009765625,0.0224609375,0.0068359375,0.025390625,0.0166015625,0.3427734375
5,5,6,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/a6c33142-ff74-4dac-99fc-9e7afb97c122,2025-08-06T01:41:32.681Z,0.427734375,0.0205078125,0.0146484375,0.00390625,0.01171875,0.00390625,0.001953125,0.0,0.0166015625,0.005859375,0.0009765625,0.0029296875,0.0048828125,0.001953125,0.0107421875,0.0224609375,0.013671875,0.001953125,0.001953125,0.0048828125,0.0,0.0029296875,0.0107421875,0.0146484375,0.0068359375,0.0029296875,0.001953125,0.0205078125,0.00390625,0.0244140625,0.0205078125,0.3173828125
6,5,7,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/c548b66d-ce32-4949-994e-fdccae77213e,2025-08-06T01:41:33.469Z,0.416015625,0.015625,0.017578125,0.0,0.015625,0.0,0.0,0.0029296875,0.0126953125,0.0048828125,0.0009765625,0.0009765625,0.0029296875,0.0048828125,0.0029296875,0.017578125,0.0078125,0.0029296875,0.0,0.0009765625,0.0,0.001953125,0.0087890625,0.02734375,0.0087890625,0.00390625,0.00390625,0.0166015625,0.00390625,0.017578125,0.017578125,0.3623046875
7,5,8,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/4aeb24b8-79e6-42aa-ac68-40d72b766bc2,2025-08-06T01:41:34.341Z,0.4423828125,0.0166015625,0.013671875,0.001953125,0.0087890625,0.0009765625,0.00390625,0.001953125,0.013671875,0.0009765625,0.0009765625,0.0,0.0029296875,0.0029296875,0.005859375,0.021484375,0.0087890625,0.0009765625,0.0,0.001953125,0.0009765625,0.0009765625,0.0087890625,0.0126953125,0.0048828125,0.00390625,0.0048828125,0.0263671875,0.0048828125,0.0234375,0.0185546875,0.3388671875
8,5,9,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/af580da0-902a-43e4-9be2-10eeaebf7df5,2025-08-06T01:41:35.429Z,0.412109375,0.0224609375,0.0146484375,0.0029296875,0.0087890625,0.0009765625,0.001953125,0.0029296875,0.015625,0.0078125,0.0009765625,0.0009765625,0.0078125,0.0009765625,0.00390625,0.013671875,0.0078125,0.0048828125,0.0029296875,0.001953125,0.0029296875,0.001953125,0.0068359375,0.021484375,0.001953125,0.0029296875,0.00390625,0.0244140625,0.0029296875,0.017578125,0.017578125,0.359375
9,5,10,1,1024,Ankaa-3,arn:aws:braket:us-west-1:745438739765:quantum-task/72f918be-579a-43e5-a45d-e7625b4011ba,2025-08-06T01:41:36.248Z,0.4052734375,0.01953125,0.015625,0.0029296875,0.0078125,0.00390625,0.001953125,0.0009765625,0.0166015625,0.005859375,0.0009765625,0.001953125,0.0048828125,0.0029296875,0.0029296875,0.015625,0.0078125,0.00390625,0.001953125,0.001953125,0.00390625,0.0009765625,0.0068359375,0.021484375,0.00390625,0.0029296875,0.0009765625,0.0322265625,0.001953125,0.0224609375,0.0205078125,0.3564453125
