feature_type,d,train_acc,val_acc,test_acc
raw,5,1.0,1.0,0.9642857142857143
raw,10,1.0,0.9910714285714286,1.0
res,5,0.9799107142857143,0.785714294229235,0.7785714285714286
res,10,0.9799107142857143,0.8125,0.8071428571428572
abs_res,5,0.984375,0.8035714456013271,0.7785714302744184
abs_res,10,0.9799107142857143,0.8214285799435207,0.7857142891202654
rel_res,5,0.7834821428571429,0.6785714285714286,0.5571428571428572
rel_res,10,0.7879464285714286,0.6785714456013271,0.49285714370863776
abs_rel_res,5,0.7388392857142857,0.6428571428571429,0.5214285748345512
abs_rel_res,10,0.7299107142857143,0.5892857313156128,0.5357142874172756
log_ratio,5,1.0,0.9285714285714286,0.9357142891202654
log_ratio,10,0.9910714285714286,0.9017857142857143,0.857142858845847
qubit_res,5,0.8080357142857143,0.7410714285714286,0.7928571428571428
qubit_res,10,0.7991071428571429,0.8571428741727557,0.6714285748345511
abs_qubit_res,5,0.7589285714285714,0.6785714370863778,0.664285717691694
abs_qubit_res,10,0.6897321428571429,0.6517857142857143,0.6071428605488368
pauli_z_res,5,0.7924107142857143,0.8035714456013271,0.7785714319774083
pauli_z_res,10,0.796875,0.723214294229235,0.8000000034059797
pauli_zz_res,5,0.8883928571428571,0.8571428741727557,0.707142858845847
pauli_zz_res,10,0.8839285714285714,0.7678571598870414,0.7000000017029898
