feature_type,d,train_acc,val_acc,test_acc
raw,5,1.0,0.9732143027441842,0.95
raw,10,1.0,0.9776785714285714,0.9785714285714285
res,5,0.9866071428571429,0.8482143027441842,0.7571428605488368
res,10,0.9698660714285714,0.8660714285714286,0.8321428605488368
abs_res,5,0.9799107142857143,0.8392857228006635,0.7857142857142857
abs_res,10,0.9609375,0.84375,0.8107142891202654
rel_res,5,0.7366071428571429,0.5625000085149493,0.45714285714285713
rel_res,10,0.7276785714285714,0.625,0.6500000034059797
abs_rel_res,5,0.7522321428571429,0.7142857313156128,0.5642857142857143
abs_rel_res,10,0.6997767857142857,0.5982142857142857,0.5785714285714286
log_ratio,5,0.9977678571428571,0.9553571598870414,0.964285717691694
log_ratio,10,0.984375,0.90625,0.8964285714285715
qubit_res,5,0.7991071428571429,0.7767857228006635,0.7571428605488368
qubit_res,10,0.7745535714285714,0.6964285714285714,0.7107142857142857
abs_qubit_res,5,0.7410714285714286,0.7321428656578064,0.6428571445601327
abs_qubit_res,10,0.6696428571428571,0.6607142857142857,0.5964285731315613
pauli_z_res,5,0.828125,0.8035714456013271,0.7142857142857143
pauli_z_res,10,0.7633928571428571,0.7857142857142857,0.7428571462631226
pauli_zz_res,5,0.9040178571428571,0.8482142857142857,0.7857142874172756
pauli_zz_res,10,0.8270089285714286,0.7589285714285714,0.7642857159887041
