feature_type,d,train_acc,val_acc,test_acc
raw,5,0.9796875,0.89375,0.875
raw,10,0.9953125,0.90625,0.9
raw,15,0.990625,0.89375,0.89
raw,20,0.971875,0.875,0.87
res,5,0.9484375,0.7125,0.685
res,10,0.9,0.58125,0.51
res,15,0.8796875,0.60625,0.595
res,20,0.8671875,0.56875,0.525
abs_res,5,0.9453125,0.675,0.635
abs_res,10,0.8859375,0.60625,0.605
abs_res,15,0.8828125,0.55625,0.525
abs_res,20,0.85625,0.5125,0.49
rel_res,5,0.66875,0.6,0.545
rel_res,10,0.6609375,0.5125,0.49
rel_res,15,0.6671875,0.59375,0.505
rel_res,20,0.646875,0.53125,0.535
abs_rel_res,5,0.66875,0.54375,0.58
abs_rel_res,10,0.6359375,0.5125,0.5
abs_rel_res,15,0.6546875,0.5875,0.495
abs_rel_res,20,0.659375,0.575,0.54
log_ratio,5,0.9609375,0.7875,0.775
log_ratio,10,0.9296875,0.7,0.585
log_ratio,15,0.85625,0.6,0.505
log_ratio,20,0.859375,0.55625,0.53
qubit_res,5,0.775,0.75625,0.685
qubit_res,10,0.6828125,0.5375,0.505
qubit_res,15,0.6703125,0.58125,0.555
qubit_res,20,0.6375,0.58125,0.585
abs_qubit_res,5,0.7203125,0.625,0.6
abs_qubit_res,10,0.6859375,0.6125,0.555
abs_qubit_res,15,0.628125,0.53125,0.575
abs_qubit_res,20,0.6234375,0.55625,0.485
pauli_z_res,5,0.775,0.75625,0.69
pauli_z_res,10,0.6671875,0.55,0.53
pauli_z_res,15,0.6640625,0.575,0.555
pauli_z_res,20,0.6375,0.58125,0.585
pauli_zz_res,5,0.809375,0.68125,0.69
pauli_zz_res,10,0.703125,0.54375,0.52
pauli_zz_res,15,0.7125,0.56875,0.495
pauli_zz_res,20,0.6859375,0.5125,0.51
