feature_type,d,train_acc,val_acc,test_acc
raw,5,0.9828125,0.9,0.89
raw,10,0.9609375,0.8875,0.84
raw,15,0.9364583333333333,0.825,0.8166666666666667
raw,20,0.913671875,0.8078125,0.79875
res,5,0.95625,0.725,0.725
res,10,0.89609375,0.725,0.665
res,15,0.8192708333333333,0.6583333333333333,0.6233333349227905
res,20,0.783203125,0.628125,0.63375
abs_res,5,0.9265625,0.66875,0.65
abs_res,10,0.8671875,0.678125,0.665
abs_res,15,0.809375,0.6395833333333333,0.6366666674613952
abs_res,20,0.78203125,0.6359375,0.62
rel_res,5,0.6734375,0.59375,0.54
rel_res,10,0.61015625,0.575,0.5075
rel_res,15,0.5958333333333333,0.5729166666666666,0.5500000015894572
rel_res,20,0.58515625,0.53125,0.5175
abs_rel_res,5,0.6734375,0.56875,0.55
abs_rel_res,10,0.590625,0.575,0.5375
abs_rel_res,15,0.5916666666666667,0.55,0.5216666666666666
abs_rel_res,20,0.591015625,0.521875,0.51875
log_ratio,5,0.9578125,0.76875,0.77
log_ratio,10,0.89765625,0.7875,0.725
log_ratio,15,0.8557291666666667,0.7375,0.673333334128062
log_ratio,20,0.81171875,0.6625,0.6575
qubit_res,5,0.775,0.7625,0.675
qubit_res,10,0.684375,0.66875,0.6375
qubit_res,15,0.6453125,0.65625,0.6500000007947286
qubit_res,20,0.644140625,0.5921875,0.605
abs_qubit_res,5,0.7140625,0.63125,0.6
abs_qubit_res,10,0.665625,0.646875,0.5975
abs_qubit_res,15,0.6322916666666667,0.6291666666666667,0.5700000015894572
abs_qubit_res,20,0.610546875,0.596875,0.61625
pauli_z_res,5,0.76875,0.7625,0.68
pauli_z_res,10,0.6890625,0.675,0.6325
pauli_z_res,15,0.6463541666666667,0.65625,0.6500000007947286
pauli_z_res,20,0.63515625,0.590625,0.6075
pauli_zz_res,5,0.8359375,0.68125,0.69
pauli_zz_res,10,0.70859375,0.64375,0.6325
pauli_zz_res,15,0.671875,0.6104166666666667,0.5966666674613953
pauli_zz_res,20,0.641796875,0.5703125,0.5875
